"statecode","avg"
"Alaska",628.5558650306748466
"Alabama",231.6905357326126373
"Arkansas",297.8289216435738175
"Arizona",353.6457133326310615
"Delaware",395.5129955242966752
"Florida",327.3514691289395581
"Georgia",382.0784597519320483
"Hawaii",256.3414756258234519
"Iowa",336.5307045465938142
"Illinois",362.1155671240383298
"Indiana",223.1377393408478314
"Kansas",251.8667181075181481
"Louisiana",321.9694976963217961
"Maine",367.2709481865284974
"Michigan",174.7030035582173683
"Missouri",274.1266252639868275
"Mississippi",237.5666462575674188
"Montana",331.8848946675444371
"North Carolina",300.6509585791709829
"North Dakota",255.6825410216718266
"Nebraska",244.6168556501547988
"New Hampshire",352.9327159965782720
"New Jersey",449.6505780172576209
"New Mexico",240.6292797643234458
"Nevada",328.1119011857707510
"Ohio",265.9547702285849877
"Oklahoma",316.4716349432944722
"Oregon",307.9746964991530209
"Pennsylvania",324.7290806790486596
"South Carolina",411.5453304932316601
"South Dakota",348.9963512264784946
"Tennessee",407.2639900890945507
"Texas",277.0896257570346279
"Utah",282.9165607833771197
"Virginia",258.5681959895203547
"Wisconsin",495.1363744504916721
"West Virginia",396.8953353098756885
"Wyoming",389.7864273326396115
